 Destination Port,Destination IP, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
50709,64.248.163.248,149213,7,2,11601,26,4380,0,1657.285714,1964.895647,20,6,13,9.899494937,77922.16496,60.31646036,18651.625,44491.95887,127286,15,149213,24868.83333,50878.77631,127286,92,15,15,0,15,15,0,0,0,0,164,40,46.9128025,13.40365786,0,4380,1162.7,1791.113375,3208087.122,0,0,0,1,0,0,0,0,0,1291.888889,1657.285714,13,164,0,0,0,0,0,0,7,11601,2,26,8192,256,5,20,0,0,0,0,0,0,0,0,BENIGN
50713,194.7.46.192,592935,7,2,11601,26,5840,0,1657.285714,2128.375336,20,6,13,9.899494937,19609.23204,15.17872954,74116.875,207077.1912,586581,3,592935,98822.5,238963.885,586581,9,3,3,0,3,3,0,0,0,0,164,40,11.80567853,3.373051009,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,0,1291.888889,1657.285714,13,164,0,0,0,0,0,0,7,11601,2,26,8192,256,5,20,0,0,0,0,0,0,0,0,BENIGN
50712,54.100.46.92,606150,7,2,11601,26,5840,0,1657.285714,2128.375336,20,6,13,9.899494937,19181.7207,14.84780995,75768.75,205646.3977,584401,47,606150,101025,236956.7428,584401,47,107,107,0,107,107,0,0,0,0,164,40,11.54829663,3.299513322,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,0,1291.888889,1657.285714,13,164,0,0,0,0,0,0,7,11601,2,26,8192,256,5,20,0,0,0,0,0,0,0,0,BENIGN
50714,65.188.100.138,665053,8,2,11607,26,4380,0,1450.875,1733.674499,20,6,13,9.899494937,17491.839,15.0363956,73894.77778,221357.7567,664182,3,665053,95007.57143,250982.3971,664182,3,19,19,0,19,19,0,0,0,0,184,40,12.02911648,3.007279119,0,4380,1057.545455,1599.303183,2557770.673,0,0,0,1,0,0,0,0,0,1163.3,1450.875,13,184,0,0,0,0,0,0,8,11607,2,26,8192,256,6,20,0,0,0,0,0,0,0,0,BENIGN
50730,203.188.98.20,1753121,6,2,11607,26,7215,0,1934.5,3123.682298,20,6,13,9.899494937,6635.594463,4.563290269,250445.8571,662202.9905,1752181,11,1753121,350624.2,783494.1215,1752181,11,48,48,0,48,48,0,0,0,0,144,40,3.422467702,1.140822567,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,0,1454.125,1934.5,13,144,0,0,0,0,0,0,6,11607,2,26,8192,256,4,20,0,0,0,0,0,0,0,0,BENIGN
50731,107.41.125.150,1752100,6,2,11607,26,10135,0,1934.5,4059.461922,20,6,13,9.899494937,6639.461218,4.565949432,250300,661863.8288,1751266,5,1752100,350420,783096.769,1751266,5,49,49,0,49,49,0,0,0,0,144,40,3.424462074,1.141487358,0,10135,1292.555556,3350.634907,11200000,0,0,0,1,0,0,0,0,0,1454.125,1934.5,13,144,0,0,0,0,0,0,6,11607,2,26,8192,256,4,20,0,0,0,0,0,0,0,0,BENIGN
50729,128.249.208.84,1752094,6,2,11607,26,5840,0,1934.5,2992.388862,20,6,13,9.899494937,6639.483955,4.565965068,250299.1429,661820.9976,1751168,3,1752094,350418.8,783042.6618,1751168,3,18,18,0,18,18,0,0,0,0,144,40,3.424473801,1.141491267,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,0,1454.125,1934.5,13,144,0,0,0,0,0,0,6,11607,2,26,8192,256,4,20,0,0,0,0,0,0,0,0,BENIGN
50733,64.173.1.105,1300474,6,2,11607,26,10135,0,1934.5,4059.461922,20,6,13,9.899494937,8945.199981,6.151603185,185782,491119.3835,1299536,4,1300474,260094.8,581065.3581,1299536,4,79,79,0,79,79,0,0,0,0,144,40,4.613702389,1.537900796,0,10135,1292.555556,3350.634907,11200000,0,0,0,1,0,0,0,0,0,1454.125,1934.5,13,144,0,0,0,0,0,0,6,11607,2,26,8192,256,4,20,0,0,0,0,0,0,0,0,BENIGN
50732,250.212.64.245,1300460,6,2,11607,26,8760,0,1934.5,3530.471796,20,6,13,9.899494937,8945.29628,6.151669409,185780,491140.9855,1299583,4,1300460,260092,581093.1785,1299583,4,48,48,0,48,48,0,0,0,0,144,40,4.613752057,1.537917352,0,8760,1292.555556,2952.520834,8717379.278,0,0,0,1,0,0,0,0,0,1454.125,1934.5,13,144,0,0,0,0,0,0,6,11607,2,26,8192,256,4,20,0,0,0,0,0,0,0,0,BENIGN
50736,97.196.212.246,1260493,6,2,11607,26,10135,0,1934.5,4059.461922,20,6,13,9.899494937,9228.928681,6.346723068,180070.4286,475971.8197,1259473,5,1260493,252098.6,563139.4899,1259473,5,251,251,0,251,251,0,0,0,0,144,40,4.760042301,1.586680767,0,10135,1292.555556,3350.634907,11200000,0,0,0,1,0,0,0,0,0,1454.125,1934.5,13,144,0,0,0,0,0,0,6,11607,2,26,8192,256,4,20,0,0,0,0,0,0,0,0,BENIGN
50734,66.85.116.109,1259198,7,2,11607,26,5840,0,1658.142857,2430.302891,20,6,13,9.899494937,9238.42001,7.147406524,157399.75,444830.5025,1258299,2,1259198,209866.3333,513625.0954,1258299,2,211,211,0,211,211,0,0,0,0,164,40,5.559093963,1.588312561,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,0,1292.555556,1658.142857,13,164,0,0,0,0,0,0,7,11607,2,26,8192,256,5,20,0,0,0,0,0,0,0,0,BENIGN
50735,245.118.76.193,1259076,7,2,11607,26,5840,0,1658.142857,2430.302891,20,6,13,9.899494937,9239.31518,7.148099082,157384.5,444823.319,1258266,3,1259076,209846,513618.8637,1258266,3,147,147,0,147,147,0,0,0,0,164,40,5.559632619,1.588466463,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,0,1292.555556,1658.142857,13,164,0,0,0,0,0,0,7,11607,2,26,8192,256,5,20,0,0,0,0,0,0,0,0,BENIGN
50679,246.178.29.254,80879448,6,9,11613,62,10135,0,1935.5,4058.890772,20,0,6.888888889,5.30199124,144.350639,0.185461206,5777103.429,21600000,80700000,1,80900000,16200000,36100000,80800000,5,80800000,10100000,28500000,80700000,1,0,0,0,0,132,192,0.074184483,0.111276724,0,10135,730.0625,2534.071308,6421517.396,0,0,0,0,1,1,0,0,1,778.7333333,1935.5,6.888888889,132,0,0,0,0,0,0,6,11613,9,62,229,256,4,20,40571,0,40571,40571,80700000,0,80700000,80700000,BENIGN
50678,189.13.17.253,80879538,6,9,11613,62,10135,0,1935.5,4058.890772,20,0,6.888888889,5.30199124,144.3504784,0.185461,5777109.857,21600000,80700000,1,80900000,16200000,36100000,80800000,187,80800000,10100000,28500000,80700000,1,0,0,0,0,132,192,0.0741844,0.1112766,0,10135,730.0625,2534.071308,6421517.396,0,0,0,0,1,1,0,0,1,778.7333333,1935.5,6.888888889,132,0,0,0,0,0,0,6,11613,9,62,229,256,4,20,42603,0,42603,42603,80700000,0,80700000,80700000,BENIGN
50681,119.187.34.9,81573708,7,9,11613,62,5840,0,1659,2429.621575,20,0,6.888888889,5.30199124,143.1220952,0.196141629,5438247.2,20800000,80700000,1,81600000,13600000,32900000,80800000,15,80800000,10100000,28500000,80700000,1,0,0,0,0,152,192,0.085811963,0.110329667,0,5840,687.1176471,1707.681172,2916174.985,0,0,0,0,1,1,0,0,1,730.0625,1659,6.888888889,152,0,0,0,0,0,0,7,11613,9,62,229,256,5,20,41668,0,41668,41668,80700000,0,80700000,80700000,BENIGN
50682,116.224.85.182,81727225,7,9,11613,62,5840,0,1659,2429.621575,20,0,6.888888889,5.30199124,142.8532536,0.195773196,5448481.667,20800000,80700000,1,81700000,13600000,32900000,80800000,14,80700000,10100000,28500000,80700000,1,0,0,0,0,152,192,0.085650773,0.110122422,0,5840,687.1176471,1707.681172,2916174.985,0,0,0,0,1,1,0,0,1,730.0625,1659,6.888888889,152,0,0,0,0,0,0,7,11613,9,62,229,256,5,20,35580,0,35580,35580,80700000,0,80700000,80700000,BENIGN
50680,123.182.186.151,81727167,7,10,11613,68,5840,0,1659,2429.621575,20,0,6.8,5.006662228,142.92677,0.208009168,5107947.938,20200000,80700000,1,81700000,13600000,32900000,80800000,4,80800000,8972330.889,26900000,80700000,1,0,0,0,0,152,212,0.085650834,0.122358334,0,5840,649.2777778,1664.45447,2770408.683,0,0,0,0,1,1,0,0,1,687.4705882,1659,6.8,152,0,0,0,0,0,0,7,11613,10,68,229,256,5,20,37644,0,37644,37644,80700000,0,80700000,80700000,BENIGN
50683,122.39.39.186,81796615,7,9,11613,62,4380,0,1659,2117.072113,20,0,6.888888889,5.30199124,142.7320678,0.195607117,5453107.667,20800000,80700000,1,81800000,13600000,32900000,80800000,2,80800000,10100000,28500000,80700000,1,0,0,0,0,152,192,0.085578113,0.110029003,0,4380,687.1176471,1543.785926,2383274.985,0,0,0,0,1,1,0,0,1,730.0625,1659,6.888888889,152,0,0,0,0,0,0,7,11613,9,62,229,256,5,20,38604,0,38604,38604,80700000,0,80700000,80700000,BENIGN
50684,102.209.159.213,81846771,7,9,11613,62,5840,0,1659,2429.621575,20,0,6.888888889,5.30199124,142.6446011,0.195487248,5456451.4,20800000,80700000,1,81800000,13600000,32900000,80800000,2,80800000,10100000,28500000,80700000,1,0,0,0,0,152,192,0.085525671,0.109961577,0,5840,687.1176471,1707.681172,2916174.985,0,0,0,0,1,1,0,0,1,730.0625,1659,6.888888889,152,0,0,0,0,0,0,7,11613,9,62,229,256,5,20,33766,0,33766,33766,80700000,0,80700000,80700000,BENIGN
50685,90.217.210.192,81837312,7,9,11613,62,5840,0,1659,2429.621575,20,0,6.888888889,5.30199124,142.6610884,0.195509843,5455820.8,20800000,80700000,2,81800000,13600000,32900000,80800000,2,80800000,10100000,28500000,80700000,48,0,0,0,0,152,192,0.085535556,0.109974287,0,5840,687.1176471,1707.681172,2916174.985,0,0,0,0,1,1,0,0,1,730.0625,1659,6.888888889,152,0,0,0,0,0,0,7,11613,9,62,229,256,5,20,44670,0,44670,44670,80700000,0,80700000,80700000,BENIGN
50700,247.79.125.27,82247028,5,9,12982,56,11595,0,2596.4,5065.280279,20,0,6.222222222,5.783117191,158.5224453,0.170218917,6326694.462,19600000,70800000,1,82200000,20600000,40600000,81500000,4,81500000,10200000,24800000,70800000,1,1,0,0,0,112,204,0.06079247,0.109426446,0,11595,960.8666667,2980.615849,8884070.838,0,1,0,0,1,1,0,0,1,1029.5,2596.4,6.222222222,112,0,0,0,0,0,0,5,12982,9,56,229,256,3,20,16811,0,16811,16811,40800000,42500000,70800000,10700000,BENIGN
50701,243.216.224.78,82251384,6,9,12982,56,8675,0,2163.666667,3393.641152,20,0,6.222222222,5.783117191,158.51405,0.182367752,5875098.857,19000000,71000000,0,82300000,16500000,36500000,81700000,146,81700000,10200000,24800000,71000000,0,1,0,0,0,132,204,0.072947101,0.109420651,0,8675,900.8125,2229.806456,4972036.829,0,1,0,0,1,1,0,0,1,960.8666667,2163.666667,6.222222222,132,0,0,0,0,0,0,6,12982,9,56,229,256,4,20,20716,0,20716,20716,40800000,42700000,71000000,10700000,BENIGN
50702,228.18.179.161,82251389,6,9,12982,56,10220,0,2163.666667,4003.523481,20,0,6.222222222,5.783117191,158.5140404,0.182367741,5875099.214,19000000,71000000,1,82300000,16500000,36500000,81700000,3,81700000,10200000,24800000,71000000,1,1,0,0,0,132,204,0.072947096,0.109420645,0,10220,900.8125,2544.766557,6475836.829,0,1,0,0,1,1,0,0,1,960.8666667,2163.666667,6.222222222,132,0,0,0,0,0,0,6,12982,9,56,229,256,4,20,20573,0,20573,20573,40800000,42700000,71000000,10700000,BENIGN
50703,119.111.208.28,82255187,6,9,12982,56,10220,0,2163.666667,4003.523481,20,0,6.222222222,5.783117191,158.5067213,0.18235932,5875370.5,19000000,71100000,3,82300000,16500000,36500000,81800000,3,81800000,10200000,24900000,71100000,3,1,0,0,0,132,204,0.072943728,0.109415592,0,10220,900.8125,2544.766557,6475836.829,0,1,0,0,1,1,0,0,1,960.8666667,2163.666667,6.222222222,132,0,0,0,0,0,0,6,12982,9,56,229,256,4,20,20749,0,20749,20749,40900000,42700000,71100000,10700000,BENIGN
64796,14.191.134.123,8247353,1,5,6,30,6,6,6,0,6,6,6,0,4.365036879,0.727506147,1649470.6,3670521.078,8215467,1,0,0,0,0,0,8242813,2060703.25,4103196.074,8215467,1,0,0,0,0,20,100,0.121251024,0.606255122,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,31886,0,31886,31886,8215467,0,8215467,8215467,BENIGN
64794,29.171.148.206,8247401,1,5,6,30,6,6,6,0,6,6,6,0,4.365011475,0.727501912,1649480.2,3670451.327,8215342,1,0,0,0,0,0,8245840,2061460,4102613.178,8215342,1,0,0,0,0,20,100,0.121250319,0.606251594,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,32059,0,32059,32059,8215342,0,8215342,8215342,BENIGN
64795,106.10.44.213,8247379,1,5,6,30,6,6,6,0,6,6,6,0,4.365023118,0.727503853,1649475.8,3670447.961,8215335,0,0,0,0,0,0,8244823,2061205.75,4102776.373,8215335,0,0,0,0,0,20,100,0.121250642,0.606253211,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,32044,0,32044,32044,8215335,0,8215335,8215335,BENIGN
64798,141.113.197.157,8249364,1,5,6,30,6,6,6,0,6,6,6,0,4.363972786,0.727328798,1649872.8,3671352.776,8217372,1,0,0,0,0,0,8235812,2058953,4105621.862,8217372,1,0,0,0,0,20,100,0.121221466,0.606107331,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,31992,0,31992,31992,8217372,0,8217372,8217372,BENIGN
64800,45.119.173.191,8240365,1,5,6,30,6,6,6,0,6,6,6,0,4.368738521,0.728123087,1648073,3669459.535,8212187,14,0,0,0,0,0,8220817,2055204.25,4104656.544,8212187,14,0,0,0,0,20,100,0.121353848,0.606769239,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,28178,0,28178,28178,8212187,0,8212187,8212187,BENIGN
64801,206.186.234.212,8240356,1,5,6,30,6,6,6,0,6,6,6,0,4.368743292,0.728123882,1648071.2,3669451.969,8212170,4,0,0,0,0,0,8219783,2054945.75,4104817.211,8212170,4,0,0,0,0,20,100,0.12135398,0.606769902,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,28186,0,28186,28186,8212170,0,8212170,8212170,BENIGN
64797,150.145.63.222,8247368,1,5,6,30,6,6,6,0,6,6,6,0,4.36502894,0.727504823,1649473.6,3670444.621,8215330,1,0,0,0,0,0,8243813,2060953.25,4102939.792,8215330,1,0,0,0,0,20,100,0.121250804,0.606254019,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,32038,0,32038,32038,8215330,0,8215330,8215330,BENIGN
64799,52.192.243.188,8249345,1,5,6,30,6,6,6,0,6,6,6,0,4.363982837,0.727330473,1649869,3671809.159,8218186,1,0,0,0,0,0,8234799,2058699.75,4106331.629,8218186,1,0,0,0,0,20,100,0.121221745,0.606108727,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,31159,0,31159,31159,8218186,0,8218186,8218186,BENIGN
64804,188.19.100.64,8240430,1,5,6,30,6,6,6,0,6,6,6,0,4.36870406,0.728117343,1648086,3669555.343,8212358,2,0,0,0,0,0,8214882,2053720.5,4105758.505,8212358,2,0,0,0,0,20,100,0.121352891,0.606764453,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,28072,0,28072,28072,8212358,0,8212358,8212358,BENIGN
64802,121.225.152.123,8240355,1,5,6,30,6,6,6,0,6,6,6,0,4.368743822,0.72812397,1648071,3669478.214,8212215,4,0,0,0,0,0,8218810,2054702.5,4105009.051,8212215,4,0,0,0,0,20,100,0.121353995,0.606769975,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,28140,0,28140,28140,8212215,0,8212215,8212215,BENIGN
64805,83.238.23.64,8239364,1,5,6,30,6,6,6,0,6,6,6,0,4.369269279,0.728211546,1647872.8,3669076.242,8211296,983,0,0,0,0,0,8216789,2054197.25,4104732.663,8211296,983,0,0,0,0,20,100,0.121368591,0.606842955,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,28068,0,28068,28068,8211296,0,8211296,8211296,BENIGN
64803,124.148.241.35,8240358,1,6,6,36,6,6,6,0,6,6,6,0,5.096865937,0.849477656,1373393,3350345.447,8212232,3,0,0,0,0,0,8216797,1643359.4,3672111.7,8212232,3,0,0,0,0,20,120,0.121353951,0.728123705,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,28126,0,28126,28126,8212232,0,8212232,8212232,BENIGN
64806,23.221.52.122,8231369,1,5,6,30,6,6,6,0,6,6,6,0,4.373513081,0.728918847,1646273.8,3669661.772,8210750,384,0,0,0,0,0,8212948,2053237,4105008.695,8210750,384,0,0,0,0,20,100,0.121486474,0.607432372,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,20619,0,20619,20619,8210750,0,8210750,8210750,BENIGN
64819,148.42.30.91,8187380,1,5,6,30,6,6,6,0,6,6,6,0,4.39701101,0.732835168,1637476,3645530.545,8158784,1,0,0,0,0,0,8177825,2044456.25,4076228.377,8158784,1,0,0,0,0,20,100,0.122139195,0.610695974,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,28596,0,28596,28596,8158784,0,8158784,8158784,BENIGN
64818,204.14.182.204,8187381,1,6,6,36,6,6,6,0,6,6,6,0,5.129845551,0.854974259,1364563.5,3328490.23,8158802,4,0,0,0,0,0,8179804,1635960.8,3646386.61,8158802,4,0,0,0,0,20,120,0.12213918,0.732835079,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,28579,0,28579,28579,8158802,0,8158802,8158802,BENIGN
27573,47.72.237.241,6009325,1,5,1375,24,1375,1375,1375,0,6,0,4.8,2.683281573,232.8048491,0.998448245,1201865,2671584.918,5980919,0,0,0,0,0,0,6000863,1500215.75,2987150.286,5980919,0,1,0,0,0,20,112,0.166408041,0.832040204,0,1375,396.2857143,668.5927296,447016.2381,0,1,0,0,1,1,0,0,5,462.3333333,1375,4.8,20,0,0,0,0,0,0,1,1375,5,24,229,0,0,20,28406,0,28406,28406,5980919,0,5980919,5980919,BENIGN
27577,90.172.186.60,6016397,1,5,6,30,6,6,6,0,6,6,6,0,5.983647688,0.997274615,1203279.4,2675053.923,5988544,1,0,0,0,0,0,5999874,1499968.5,2992388.428,5988544,1,0,0,0,0,20,100,0.166212436,0.831062179,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,27853,0,27853,27853,5988544,0,5988544,5988544,BENIGN
27574,235.185.142.245,6009325,1,5,1375,24,1375,1375,1375,0,6,0,4.8,2.683281573,232.8048491,0.998448245,1201865,2671561.232,5980872,1,0,0,0,0,0,6002863,1500715.75,2986788.814,5980872,1,1,0,0,0,20,112,0.166408041,0.832040204,0,1375,396.2857143,668.5927296,447016.2381,0,1,0,0,1,1,0,0,5,462.3333333,1375,4.8,20,0,0,0,0,0,0,1,1375,5,24,229,0,0,20,28453,0,28453,28453,5980872,0,5980872,5980872,BENIGN
